m/z	retention_time	p-value	t-score	custom_id
102.0448	58	0.507653603	-0.68	AE_pos_102.0448_58
102.0544	60	0.040173396	2.23	AE_pos_102.0544_60
102.0908	50	2.94E-07	-8.4	AE_pos_102.0908_50
102.1273	53	0.003398705	-3.44	AE_pos_102.1273_53
102.5081	16	0.096532004	-1.77	AE_pos_102.5081_16
102.5302	32	0.251865201	-1.19	AE_pos_102.5302_32
102.5302	299	0.267778011	-1.15	AE_pos_102.5302_299
103.0385	496	0.445373085	0.78	AE_pos_103.0385_496
103.0535	55	0.016815222	-2.67	AE_pos_103.0535_55
103.0537	376	6.61E-06	6.56	AE_pos_103.0537_376
103.0749	133	0.54634556	0.62	AE_pos_103.0749_133
103.0749	536	0.112367098	-1.68	AE_pos_103.0749_536
103.9548	500	0.009613146	-2.94	AE_pos_103.9548_500
103.9551	53	0.705638048	-0.38	AE_pos_103.9551_53
104.0602	92	0.384582605	-0.89	AE_pos_104.0602_92
104.0601	512	0.746952038	-0.33	AE_pos_104.0601_512
104.1066	48	0.002242872	-3.63	AE_pos_104.1066_48
105.033	234	0.023656603	-2.5	AE_pos_105.033_234
105.1035	47	0.408015176	0.85	AE_pos_105.1035_47
105.9531	504	0.051916214	-2.1	AE_pos_105.9531_504
105.9533	54	0.46305265	-0.75	AE_pos_105.9533_54
105.9579	29	0.82738802	-0.22	AE_pos_105.9579_29
105.9625	33	0.365427789	-0.93	AE_pos_105.9625_33
105.9625	398	0.653048726	0.46	AE_pos_105.9625_398
106.0409	31	0.426599492	0.82	AE_pos_106.0409_31
106.0407	386	0.920821334	-0.1	AE_pos_106.0407_386
106.1069	47	0.429002393	0.81	AE_pos_106.1069_47
106.9514	55	0.639400824	0.48	AE_pos_106.9514_55
106.9913	484	0.506999607	0.68	AE_pos_106.9913_484
106.9913	27	0.595045102	0.54	AE_pos_106.9913_27
106.9984	80	0.765245853	0.3	AE_pos_106.9984_80
107.0306	26	0.371977557	0.92	AE_pos_107.0306_26
107.0486	158	0.030727879	2.37	AE_pos_107.0486_158
107.0486	478	0.445600292	-0.78	AE_pos_107.0486_478
107.0599	105	0.132458607	-1.59	AE_pos_107.0599_105
107.0599	467	0.058962006	2.03	AE_pos_107.0599_467
107.0724	106	0.757370026	0.31	AE_pos_107.0724_106
107.0724	458	0.735357072	-0.34	AE_pos_107.0724_458
107.085	97	0.724859017	-0.36	AE_pos_107.085_97
107.085	447	0.638732253	-0.48	AE_pos_107.085_447
107.9528	29	0.640460341	-0.48	AE_pos_107.9528_29
107.9594	29	0.287541713	1.1	AE_pos_107.9594_29
108.0087	164	0.111266674	-1.69	AE_pos_108.0087_164
108.0677	101	0.079440546	-1.87	AE_pos_108.0677_101
108.0677	342	0.432211708	0.81	AE_pos_108.0677_342
108.0677	535	0.921020528	0.1	AE_pos_108.0677_535
108.0758	492	0.954172007	-0.06	AE_pos_108.0758_492
108.0804	97	0.326963629	-1.01	AE_pos_108.0804_97
108.0802	541	0.07808873	-1.88	AE_pos_108.0802_541
108.517	60	0.367601063	0.93	AE_pos_108.517_60
108.5169	333	0.569047127	-0.58	AE_pos_108.5169_333
108.536	38	0.232392736	1.24	AE_pos_108.536_38
108.9252	29	0.52868892	0.64	AE_pos_108.9252_29
108.9504	29	0.422391867	-0.82	AE_pos_108.9504_29
109.0219	44	0.176244847	1.41	AE_pos_109.0219_44
109.0219	328	0.216612245	-1.29	AE_pos_109.0219_328
109.0279	132	0.004188291	3.34	AE_pos_109.0279_132
109.0408	51	0.927212416	0.09	AE_pos_109.0408_51
109.0409	301	0.825192181	0.22	AE_pos_109.0409_301
109.0408	540	0.087627037	-1.82	AE_pos_109.0408_540
109.0503	359	0.148004599	1.52	AE_pos_109.0503_359
109.0756	494	0.838404388	-0.21	AE_pos_109.0756_494
109.0756	30	0.52571643	0.65	AE_pos_109.0756_30
109.1006	86	0.35148334	-0.96	AE_pos_109.1006_86
109.9582	28	0.025395517	2.47	AE_pos_109.9582_28
109.9781	445	0.118891991	-1.65	AE_pos_109.9781_445
109.9781	53	0.095463821	1.77	AE_pos_109.9781_53
109.9887	30	0.387979486	-0.89	AE_pos_109.9887_30
109.995	526	0.134823098	-1.57	AE_pos_109.995_526
110.0083	539	0.224765823	1.26	AE_pos_110.0083_539
110.0084	39	0.041764359	2.21	AE_pos_110.0084_39
110.0196	38	0.496861758	0.7	AE_pos_110.0196_38
110.0423	71	0.021894593	-2.54	AE_pos_110.0423_71
110.0597	76	0.902226744	-0.12	AE_pos_110.0597_76
110.0709	156	0.596178348	0.54	AE_pos_110.0709_156
110.0708	533	0.256204696	-1.18	AE_pos_110.0708_533
110.0791	30	0.441950496	0.79	AE_pos_110.0791_30
110.5209	34	0.008336421	3.01	AE_pos_110.5209_34
110.922	27	0.194395432	1.35	AE_pos_110.922_27
111.0091	480	0.549329433	-0.61	AE_pos_111.0091_480
111.0198	19	0.890812761	0.14	AE_pos_111.0198_19
111.0387	53	0.009950681	2.92	AE_pos_111.0387_53
111.0387	426	0.204097825	1.32	AE_pos_111.0387_426
111.0556	124	0.783169205	0.28	AE_pos_111.0556_124
111.0799	209	0.757173787	0.31	AE_pos_111.0799_209
111.0799	542	0.440283445	0.79	AE_pos_111.0799_542
111.5213	25	0.883667241	0.15	AE_pos_111.5213_25
111.5214	397	0.80751392	-0.25	AE_pos_111.5214_397
111.5307	164	0.640791857	-0.48	AE_pos_111.5307_164
111.5362	26	0.322042715	1.02	AE_pos_111.5362_26
111.9677	28	0.485067606	0.71	AE_pos_111.9677_28
111.9838	23	0.969836367	0.04	AE_pos_111.9838_23
112.0058	518	0.652086872	-0.46	AE_pos_112.0058_518
112.0174	27	0.723377149	-0.36	AE_pos_112.0174_27
112.0389	478	0.872735637	-0.16	AE_pos_112.0389_478
112.0501	181	0.009132973	2.96	AE_pos_112.0501_181
112.0564	150	nan	nan	AE_pos_112.0564_150
112.0768	61	0.658498941	-0.45	AE_pos_112.0768_61
112.519	17	0.173319268	-1.43	AE_pos_112.519_17
112.9553	34	0.92904385	-0.09	AE_pos_112.9553_34
112.9665	35	0.704231979	-0.39	AE_pos_112.9665_35
112.9663	409	0.328442991	1.01	AE_pos_112.9663_409
112.9779	28	0.81289174	0.24	AE_pos_112.9779_28
112.9862	29	0.408553033	-0.85	AE_pos_112.9862_29
112.9867	518	0.601646421	-0.53	AE_pos_112.9867_518
113.0006	165	0.261071818	-1.17	AE_pos_113.0006_165
113.0163	385	0.590491608	-0.55	AE_pos_113.0163_385
113.0163	26	0.020860366	-2.56	AE_pos_113.0163_26
113.0203	103	1.14E-16	35.62	AE_pos_113.0203_103
113.0593	128	0.314724265	1.04	AE_pos_113.0593_128
113.1067	98	0.916615443	-0.11	AE_pos_113.1067_98
113.9632	40	0.192296529	-1.36	AE_pos_113.9632_40
113.9812	37	0.05637317	-2.06	AE_pos_113.9812_37
113.9813	344	0.103064166	1.73	AE_pos_113.9813_344
113.9812	540	0.462490912	0.75	AE_pos_113.9812_540
114.0368	466	0.943224163	0.07	AE_pos_114.0368_466
114.0543	71	0.062967101	2	AE_pos_114.0543_71
114.0544	414	0.789246139	0.27	AE_pos_114.0544_414
114.0648	54	0.405592294	-0.85	AE_pos_114.0648_54
114.0908	121	0.022889852	-2.52	AE_pos_114.0908_121
114.9636	25	0.128069789	-1.6	AE_pos_114.9636_25
114.9665	27	0.447519651	0.78	AE_pos_114.9665_27
115.0164	33	0.176578784	1.41	AE_pos_115.0164_33
115.0382	487	0.838857832	-0.21	AE_pos_115.0382_487
115.0383	20	0.513808947	0.67	AE_pos_115.0383_20
115.0478	48	0.001844559	3.72	AE_pos_115.0478_48
115.0536	55	0.745702048	0.33	AE_pos_115.0536_55
115.0536	375	0.067153015	1.96	AE_pos_115.0536_375
115.0746	112	0.024577485	2.48	AE_pos_115.0746_112
115.0872	133	0.010475826	2.9	AE_pos_115.0872_133
115.0942	294	0.319510457	-1.03	AE_pos_115.0942_294
115.1111	483	0.808512172	0.25	AE_pos_115.1111_483
115.5266	23	0.486535156	0.71	AE_pos_115.5266_23
